 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%,,
1,Zaire Franklin,28,IND,LLB,17,17,2,82,66,80.5,635,9.6,7.7,2,96.9,5.1,302,333,43,3,1,0,3.5,8,173,24,12.2,PBAP-2AP DPoY-17,FranZa00
2,Budda Baker,28,ARI,FS,17,17,0,74,55,74.3,608,11.1,8.2,7,129.8,7.4,364,244,31,2,1,0,2,5,164,18,9.9,PBAP-2,BakeBu00
3,Jamien Sherwood,24,NYJ,RILB,17,16,0,52,40,76.9,349,8.7,6.7,2,107,4.8,147,202,28,1,0,0,2,3,158,9,5.4,SherJa00,
4,Robert Spillane,29,LVR,MLB,17,17,2,67,49,73.1,504,10.3,7.5,4,101.8,4.5,219,285,60,1,1,2,2,4,158,11,6.5,SpilRo00,
5,Roquan Smith,27,BAL,LILB,16,16,1,68,50,73.5,644,12.9,9.5,2,106.5,4.5,230,414,48,4,2,0,1.5,8,154,5,3.1,PBAP-1,SmitRo07
6,Zack Baun,28,PHI,LLB,16,16,1,68,50,73.5,379,7.6,5.6,0,80.5,2,73,306,64,2,1,1,3.5,7,151,8,5,PBAP-1AP DPoY-5,BaunZa00
7,Kaden Elliss,29,ATL,RILB,17,17,1,60,48,80,457,9.5,7.6,1,97,4.7,192,265,60,6,11,0,5,22,151,7,4.4,ElliKa00,
8,Daiyan Henley,25,LAC,LILB,17,17,1,79,56,70.9,525,9.4,6.6,1,87.8,3.1,120,405,52,2,2,0,1,5,147,14,8.7,HenlDa00,
9,Nick Cross,23,IND,SS,17,17,3,59,42,71.2,506,12,8.6,6,109.9,9.2,295,211,15,1,0,0,1,2,146,12,7.6,CrosNi00,
10,Jordyn Brooks,27,MIA,RILB,17,17,0,82,55,67.1,582,10.6,7.1,3,99.7,4.3,198,384,38,5,3,0,3,11,143,9,5.9,BrooJo01,
11,Germaine Pratt,28,CIN,MLB,17,17,2,71,50,70.4,505,10.1,7.1,2,88.1,2.6,93,412,43,3,4,2,0,7,143,18,11.2,PratGe00,
12,E.J. Speed,29,IND,MLB,15,15,1,62,49,79,454,9.3,7.3,1,95.8,2.1,134,320,46,3,1,1,0,4,142,17,10.7,SpeeEJ00,
13,Eric Kendricks,32,DAL,MLB,15,15,2,36,26,72.2,375,14.4,10.4,2,101,3.9,87,288,36,1,0,1,3,4,138,9,6.1,KendEr00,
14,Ernest Jones,25,2TM,RILB,16,15,1,48,35,72.9,362,10.3,7.5,0,85.6,4.4,144,218,55,0,2,1,0.5,3,138,9,6.1,JoneEr01,
14,Ernest Jones,25,TEN,RILB,6,5,0,10,8,80,82,10.3,8.2,0,100.8,3.7,24,58,13,0,1,1,0,1,44,3,6.4,JoneEr01,
14,Ernest Jones,25,SEA,LB,10,10,1,38,27,71.1,280,10.4,7.4,0,81,4.6,120,160,42,0,1,0,0.5,2,94,6,6,JoneEr01,
15,Kyzir White,28,ARI,RILB,17,17,1,51,38,74.5,410,10.8,8,1,96,2.8,106,304,47,2,5,0,2.5,10,137,8,5.5,WhitKy00,
16,Demario Davis,35,NOR,MLB,16,16,1,55,37,67.3,378,10.2,6.9,0,79.2,4.3,140,238,38,1,2,0,2,5,136,11,7.5,DaviDe00,
17,Christian Rozeboom,27,LAR,RLB,17,11,1,56,45,80.4,476,10.6,8.5,2,106.5,3.6,121,355,21,0,0,0,1,1,135,13,8.8,RozeCh00,
18,Bobby Wagner,34,WAS,MLB,17,17,0,38,25,65.8,215,8.6,5.7,1,89.3,4,30,185,41,3,5,0,2,11,132,8,5.7,PBAP-2AP DPoY-17,WagnBo00
19,Jack Campbell,24,DET,MLB,17,17,0,45,35,77.8,436,12.5,9.7,1,114.4,7.1,251,185,85,3,3,0,1.5,8,131,7,5.1,CampJa04,
20,Fred Warner,28,SFO,MLB,17,17,2,58,46,79.3,389,8.5,6.7,3,97.5,4.3,147,242,32,3,1,0,1,5,131,17,11.5,PBAP-1,WarnFr00
21,Kevin Byard,31,CHI,SS,17,17,1,54,38,70.4,507,13.3,9.4,4,116.8,11.8,305,202,11,2,0,0,2,4,130,11,7.8,ByarKe01,
22,T.J. Edwards,28,CHI,LLB,17,17,1,71,55,77.5,504,9.2,7.1,0,90.3,3.6,147,357,50,2,2,1,4,8,129,5,3.7,EdwaTJ02,
23,Patrick Queen,25,PIT,LILB,17,17,0,76,58,76.3,561,9.7,7.4,4,114,4.2,183,378,59,2,4,1,1,7,129,9,6.5,PB,QueePa00
24,Nakobe Dean,24,PHI,MLB,15,15,1,45,33,73.3,290,8.8,6.4,0,80.8,3.7,80,210,41,0,3,1,3,6,128,11,7.9,AP CPoY-17,DeanNa00
25,Lavonte David,34,TAM,LILB,17,17,1,78,66,84.6,608,9.2,7.8,2,102.4,4.5,253,355,80,6,1,1,5.5,13,122,14,10.3,DaviLa00,
26,Xavier Woods,29,CAR,FS,17,17,3,51,35,68.6,426,12.2,8.4,5,102.2,9.8,304,122,5,1,0,0,0,1,119,10,7.8,WoodXa00,
27,Jeremy Chinn,26,WAS,FS,17,17,1,53,39,73.6,459,11.8,8.7,7,131.2,9.6,292,167,22,1,1,0,2,4,117,7,5.6,ChinJe00,
28,Dorian Williams,23,BUF,RLB,17,11,0,59,43,72.9,390,9.1,6.6,3,107.3,4.6,144,246,41,4,2,0,0,6,117,11,8.6,WillDo04,
29,Quincy Williams,28,NYJ,LILB,17,17,0,61,45,73.8,374,8.3,6.1,2,100,3,129,245,60,3,1,0,2,6,116,14,10.8,WillQu01,
30,Brandon Jones,26,DEN,FS,16,15,3,70,47,67.1,492,10.5,7,2,79,7.3,245,247,14,2,1,0,0,3,115,8,6.5,JoneBr06,
31,Jahlani Tavai,28,NWE,RILB,17,16,1,55,42,76.4,431,10.3,7.8,1,96.9,4.4,170,261,48,5,1,1,1,7,115,8,6.5,TavaJa00,
32,Devin Lloyd,26,JAX,RLB,16,16,1,53,37,69.8,328,8.9,6.2,5,109.6,4.2,134,194,27,1,3,0,2,6,113,8,6.6,LloyDe00,
