 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%,,
33,Blake Cashman,28,MIN,RILB,14,14,0,57,43,75.4,440,10.2,7.7,1,103,5.5,164,276,108,7,6,3,4.5,18,112,5,4.3,CashBl00,
34,Grant Delpit,26,CLE,SS,16,16,0,49,39,79.6,472,12.1,9.6,4,134,7,201,271,32,1,4,0,1,6,111,6,5.1,DelpGr00,
35,Quentin Lake,25,LAR,SS,17,16,0,63,41,65.1,458,11.2,7.3,4,107.8,9.1,298,160,13,4,1,1,2,7,111,10,8.3,LakeQu00,
36,Tremaine Edmunds,26,CHI,MLB,17,17,1,61,38,62.3,372,9.8,6.1,0,72.6,3.7,93,279,37,1,2,1,1,4,110,10,8.3,EdmuTr01,
37,Brian Branch,23,DET,SS,16,16,4,84,51,60.7,584,11.5,7,3,73.7,8.7,392,192,25,2,5,0,1,8,109,10,8.4,PB,BranBr00
38,Julian Love,26,SEA,FS,17,17,3,65,39,60,401,10.3,6.2,6,89.3,8.5,251,150,10,0,0,0,0,0,109,10,8.4,LoveJu00,
39,DeShon Elliott,27,PIT,FS,15,14,1,59,39,66.1,308,7.9,5.2,3,88.8,6.2,171,137,22,1,2,1,0,3,108,3,2.7,ElliDe02,
40,Foyesade Oluokun,29,JAX,MLB,13,13,1,55,40,72.7,414,10.4,7.5,1,92.5,5.4,184,230,19,2,0,2,1,3,108,9,7.7,OluoFo00,
41,Kyle Hamilton,23,BAL,SS,17,17,1,58,42,72.4,326,7.8,5.6,1,84.4,5.2,173,153,34,1,4,2,2,7,107,9,7.8,PBAP-2AP DPoY-9,HamiKy00
42,Micah McFadden,24,NYG,RILB,14,14,0,43,36,83.7,333,9.3,7.7,2,114.4,3.8,155,178,29,2,2,0,3,8,107,15,12.3,McFaMi01,
43,Tyrel Dodson,26,2TM,LB,17,12,3,54,43,79.6,357,8.3,6.6,1,77.2,2.2,65,292,35,1,3,1,2,6,107,13,10.8,DodsTy01,
43,Tyrel Dodson,26,SEA,LILB,9,9,0,33,27,81.8,232,8.6,7,0,96,2.1,37,195,22,0,1,1,2,3,71,7,9,DodsTy01,
43,Tyrel Dodson,26,MIA,LB,8,3,3,21,16,76.2,125,7.8,6,1,66.7,2.4,28,97,13,1,2,0,0,3,36,6,14.3,DodsTy01,
44,Cody Barton,28,DEN,LILB,17,14,2,47,41,87.2,476,11.6,10.1,1,98.2,4.3,157,319,65,3,0,1,1.5,5,106,7,6.2,BartCo00,
45,Nick Bolton,24,KAN,LLB,16,16,1,49,39,79.6,374,9.6,7.6,2,103.6,3.9,121,253,96,0,3,3,3,7,106,13,10.9,BoltNi00,
46,Henry To'oTo'o,23,HOU,LLB,15,15,1,42,35,83.3,369,10.5,8.8,4,125.1,4.4,140,229,38,1,0,1,1.5,3,105,12,10.3,TooTHe00,
47,Terrel Bernard,25,BUF,MLB,13,13,2,59,38,64.4,379,10,6.4,2,79.7,5.2,152,227,41,3,2,0,1,6,104,8,7.1,BernTe00,
48,Tre'von Moehrig,25,LVR,SS,17,17,2,58,38,65.5,378,9.9,6.5,4,92.5,5.3,187,191,52,3,1,3,1,6,104,8,7.1,MoehTr00,
49,Logan Wilson,28,CIN,LLB,11,11,0,41,35,85.4,309,8.8,7.5,3,122.5,4.1,138,171,38,1,4,0,0,5,104,7,6.3,WilsLo00,
50,Josh Metellus,26,MIN,S,17,10,2,73,53,72.6,608,11.5,8.3,1,90.4,5.3,293,315,56,5,6,0,0,11,103,3,2.8,MeteJo00,
51,Jessie Bates III,27,ATL,SS,17,17,4,51,36,70.6,345,9.6,6.8,5,89.1,7.5,190,155,10,2,1,0,1,4,102,8,7.3,BateJe00,
52,Quay Walker,24,GNB,LLB,13,13,0,51,41,80.4,367,9,7.2,0,96.7,5.2,168,199,33,5,0,0,2.5,8,102,8,7.3,WalkQu00,
53,Jaylon Jones,22,IND,LCB,17,17,2,101,67,66.3,814,12.1,8.1,1,86,9.5,538,276,0,0,0,0,0,0,100,17,14.5,JoneJa13,
54,Frankie Luvu,28,WAS,RLB,17,17,1,30,22,73.3,129,5.9,4.3,1,78.3,3,34,95,123,4,5,4,8,18,99,6,5.7,AP-2,LuvuFr00
55,Tyler Nubin,23,NYG,FS,13,13,0,40,26,65,340,13.1,8.5,0,91.7,7,192,148,7,0,0,0,0,0,98,5,4.9,NubiTy00,
56,Jordan Poyer,33,MIA,FS,16,16,0,50,33,66,490,14.8,9.8,2,111.2,9,268,222,12,2,1,0,0,3,98,12,10.9,PoyeJo00,
57,Jalen Thompson,26,ARI,SS,15,15,0,47,38,80.9,442,11.6,9.4,2,120,7.8,277,165,14,0,2,0,0,2,98,6,5.8,ThomJa04,
58,Devon Witherspoon,24,SEA,LCB,17,17,0,88,62,70.5,653,10.5,7.4,4,106.9,5.4,224,429,27,4,1,1,1,6,98,15,13.3,PB,WithDe00
59,Josey Jewell,30,CAR,RILB,12,12,1,40,28,70,246,8.8,6.2,2,92.3,4.1,103,143,33,1,0,1,3.5,5,97,9,8.5,JeweJo00,
60,Isaiah McDuffie,25,GNB,RLB,17,17,0,56,47,83.9,405,8.6,7.2,5,126.6,3.3,137,268,17,2,2,0,0.5,5,97,10,9.3,McDuIs00,
61,Camryn Bynum,26,MIN,FS,17,17,3,52,32,61.5,442,13.8,8.5,2,77.6,12.2,271,171,7,0,0,0,0,0,96,7,6.8,BynuCa00,
62,Minkah Fitzpatrick,28,PIT,SS,17,17,1,52,41,78.8,540,13.2,10.4,4,127.6,9.6,348,192,8,0,0,0,0,0,96,4,4,PB,FitzMi00
63,Kenneth Murray,26,TEN,LILB,14,14,1,46,37,80.4,314,8.5,6.8,4,115,3.4,137,177,31,1,2,0,3.5,7,95,4,4,MurrKe00,
64,Drue Tranquill,29,KAN,MLB,16,16,0,47,33,70.2,260,7.9,5.5,0,83.6,3.4,85,175,82,2,6,0,2,11,94,14,13,TranDr00,
65,Derwin James,28,LAC,SS,16,16,1,58,36,62.1,304,8.4,5.2,1,74.2,4.8,125,179,66,5,0,3,5.5,11,93,3,3.1,PBAP-2,JameDe00
66,Bobby Okereke,28,NYG,LILB,12,12,0,49,30,61.2,284,9.5,5.8,1,84.1,1.9,48,236,19,1,0,0,2,4,93,8,7.9,OkerBo00,
67,Mike Sainristil,24,WAS,RCB,17,16,2,96,58,60.4,740,12.8,7.7,6,96.7,11.2,505,235,4,0,0,0,0,0,93,7,7,AP DRoY-9,SainMi00
68,Pete Werner,25,NOR,LLB,13,13,0,48,38,79.2,306,8.1,6.4,0,93.2,3.5,99,207,22,2,0,0,0,2,92,7,7.1,WernPe00,
69,Javon Bullard,22,GNB,SS,15,11,0,54,46,85.2,459,10,8.5,3,120.6,5.1,197,262,10,0,0,0,0,0,90,9,9.1,BullJa00,
70,DeMarvion Overshown,24,DAL,RLB,13,12,1,52,45,86.5,497,11,9.6,2,111.3,2.7,122,375,51,6,1,0,5,12,90,12,11.8,OverDe00,
71,Damar Hamlin,26,BUF,SS,14,14,2,37,27,73,396,14.7,10.7,2,103,10.9,271,125,7,0,0,0,0,0,89,7,7.3,AP CPoY-4,HamlDa00
72,Isaiah Pola-Mao,25,LVR,FS,17,14,0,49,36,73.5,540,15,11,3,129.6,9.7,342,198,13,1,0,0,1,2,89,14,13.6,PolaIs00,
73,Alontae Taylor,26,NOR,LCB,17,15,0,103,64,62.1,852,13.3,8.3,7,111,9.8,480,372,15,1,1,0,4,7,89,20,18.3,TaylAl01,
74,Tyrice Knight,24,SEA,ROLB,16,9,0,45,32,71.1,259,8.1,5.8,0,85.3,1,-1,260,22,1,2,1,1.5,5,88,4,4.3,KnigTy00,
75,Xavier McKinney,26,GNB,FS,17,17,8,49,36,73.5,564,15.7,11.5,1,78.5,13,408,156,13,1,0,0,1,2,88,3,3.3,PBAP-1AP DPoY-8,McKiXa00
76,Keisean Nixon,27,GNB,LCB,17,15,1,87,50,57.5,464,9.3,5.3,3,78.9,7.4,311,153,9,0,3,0,3,6,88,9,9.3,NixoKe00,
77,Edgerrin Cooper,23,GNB,LB,14,4,1,37,24,64.9,221,9.2,6,1,78.8,4.3,64,157,32,1,3,1,3.5,8,87,11,11.2,AP DRoY-6,CoopEd00
78,Quan Martin,24,WAS,SS,16,16,1,28,14,50,312,22.3,11.1,0,75.3,13,154,158,5,0,1,0,0,1,87,7,7.4,MartJa04,
79,Justin Reid,27,KAN,SS,16,16,2,62,48,77.4,502,10.5,8.1,4,108.4,6.8,278,224,39,1,2,0,0,3,87,7,7.4,ReidJu00,
80,Harrison Smith,35,MIN,SS,16,16,3,65,43,66.2,506,11.8,7.8,4,90.9,10.2,319,187,44,4,0,2,1,5,87,9,9.4,SmitHa00,
81,Julian Blackmon,26,IND,FS,16,16,3,36,25,69.4,434,17.4,12.1,3,103.2,15.1,308,126,9,0,0,0,0.5,1,86,14,14,BlacJu01,
82,Riley Moss,24,DEN,RCB,14,14,1,103,67,65,747,11.1,7.3,4,95.4,11.2,541,206,2,1,0,0,0,1,86,10,10.4,MossRi00,
83,Deommodore Lenoir,25,SFO,RLB,15,15,2,87,54,62.1,488,9,5.6,1,71.4,7.9,204,284,15,0,0,0,0,0,85,10,10.5,LenoDe00,
84,Jason Pinnock,25,NYG,SS,16,16,0,37,26,70.3,348,13.4,9.4,4,135.9,7.7,217,131,13,1,0,0,3,4,85,9,9.6,PinnJa01,
85,Tony Adams,25,NYJ,FS,15,11,1,44,29,65.9,417,14.4,9.5,2,102.2,9,190,227,15,2,1,0,1,4,84,10,10.6,AdamTo03,
86,DeAundre Alford,27,ATL,CB,16,11,0,93,67,72,606,9,6.5,8,117.9,7.7,428,178,13,1,0,0,1,2,83,16,16.2,AlfoDe00,
87,Kerby Joseph,24,DET,FS,17,17,9,43,19,44.2,330,17.4,7.7,1,39.1,14.2,209,121,6,1,1,0,0,2,83,5,5.7,AP-1AP DPoY-6,JoseKe03
88,Akeem Davis-Gaither,27,CIN,RLB,17,7,1,45,35,77.8,330,9.4,7.3,0,88,3.9,77,253,21,1,1,1,0,2,82,9,9.9,DaviAk01,
89,Zyon McCollum,25,TAM,RCB,17,17,2,108,62,57.4,839,13.5,7.8,4,86.9,12,502,337,6,1,0,0,0,1,82,13,13.7,McCoZy02,
90,Taylor Rapp,27,BUF,FS,14,14,2,32,22,68.8,343,15.6,10.7,3,109.2,10.8,194,149,9,0,0,1,0,0,82,2,2.4,RappTa00,
91,Donovan Wilson,29,DAL,FS,17,17,1,38,27,71.1,366,13.6,9.6,6,130,8.4,190,176,31,3,1,1,4.5,9,82,8,8.9,WilsDo01,
92,Kyle Dugger,28,NWE,FS,13,13,0,46,35,76.1,357,10.2,7.8,6,137.4,6.5,194,163,23,0,0,1,1,1,81,15,15.6,DuggKy00,
93,Malik Hooker,28,DAL,SS,17,17,2,40,25,62.5,311,12.4,7.8,2,82.4,12.1,154,157,4,1,1,0,0,2,81,6,6.9,HookMa00,
94,Nathan Landman,26,ATL,LB,13,9,0,25,21,84,277,13.2,11.1,3,152.4,2.7,54,223,13,2,0,1,0,2,81,7,8,LandNa01,
95,Ja'Quan McMillian,24,DEN,CB,17,9,2,101,65,64.4,688,10.6,6.8,3,85.7,7.1,398,290,22,1,1,0,1,3,81,7,8,McMiJa00,
96,Byron Murphy,26,MIN,RCB,17,17,6,119,78,65.5,852,10.9,7.2,4,76.7,9.4,540,312,4,0,0,0,0,0,81,9,10,PB,MurpBy00
97,Geno Stone,25,CIN,SS,17,17,4,33,22,66.7,312,14.2,9.5,5,97,14.8,254,58,16,1,4,0,0,5,81,15,15.6,StonGe00,
98,Christian Elliss,25,NWE,LILB,16,5,1,24,16,66.7,184,11.5,7.7,1,86.1,9.2,98,86,23,1,3,0,1.5,6,80,6,7,ElliCh00,
99,Martin Emerson,24,CLE,RCB,17,15,0,97,59,60.8,701,11.9,7.2,5,100.1,11.3,487,214,0,0,0,0,0,0,80,7,8,EmerMa00,
100,Ventrell Miller,25,JAX,LLB,15,9,0,27,19,70.4,164,8.6,6.1,0,86,3.8,54,110,7,1,0,0,0,1,80,10,11.1,MillVe00,
101,A'Shawn Robinson,29,CAR,RDE,16,16,0,1,1,100,3,3,3,0,79.2,-5,-5,8,0,1,2,1,5.5,9,80,5,5.9,RobiAS00,
102,De'Vondre Campbell,31,SFO,LLB,13,12,0,46,38,82.6,311,8.2,6.8,1,102.1,1.3,44,267,15,0,1,1,0,1,79,8,9.2,CampDe00,
103,Kamren Curl,25,LAR,FS,16,16,0,45,25,55.6,369,14.8,8.2,4,112.2,10.4,222,147,22,3,0,1,1,4,79,10,11.2,CurlKa00,
104,Andrew Van Ginkel,29,MIN,RLB,17,17,2,22,19,86.4,71,3.7,3.2,2,72.5,0.5,4,67,110,5,9,2,11.5,26,79,5,6,PBAP-2AP DPoY-7,VanGAn00
105,Jordan Whitehead,27,TAM,FS,12,12,0,34,23,67.6,307,13.3,9,3,125.5,7.8,156,151,22,0,1,0,0,1,79,3,3.7,WhitJo03,
106,Reed Blankenship,25,PHI,FS,15,15,4,40,28,70,336,12,8.4,2,72.5,8.3,216,120,0,0,0,0,0,0,78,13,14.3,BlanRe00,
107,Bryan Cook,25,KAN,FS,17,17,2,47,29,61.7,397,13.7,8.4,3,92.2,11.3,247,150,4,0,0,0,0,0,78,5,6,CookBr02,
108,Jordan Hicks,32,CLE,LB,12,12,0,39,24,61.5,252,10.5,6.5,0,80.3,4.1,101,151,26,3,4,0,2,9,78,2,2.5,HickJo00,
109,Anfernee Jennings,27,NWE,ROLB,16,16,0,5,3,60,56,18.7,11.2,0,98.7,3.4,16,40,28,6,5,0,2.5,14,78,4,4.9,JennAn00,
110,Kenny Moore,29,IND,RCB,15,15,3,74,47,63.5,408,8.7,5.5,5,83.6,7.6,200,208,18,1,1,0,0.5,3,78,15,16.1,MoorKe03,
111,Tyrique Stevenson,24,CHI,LCB,16,14,2,85,48,56.5,662,13.8,7.8,4,87.5,11.1,505,157,0,0,0,0,0,0,78,10,11.4,StevTy01,
112,Payton Wilson,24,PIT,LB,17,4,1,39,31,79.5,215,6.9,5.5,0,79,2.7,33,182,22,1,2,1,0,3,78,7,8.2,WilsPa00,
113,Ji'Ayir Brown,24,SFO,FS,17,13,1,49,28,57.1,304,10.9,6.2,2,80.7,10.6,184,120,8,0,0,0,0,0,77,7,8.3,BrowJi01,
114,Chamarri Conner,24,KAN,DB,15,9,2,65,53,81.5,508,9.6,7.8,3,101.8,4.4,169,339,31,0,3,0,1,4,77,14,15.4,ConnCh01,
115,Cam Taylor-Britt,25,CIN,LCB,17,17,3,91,59,64.8,734,12.4,8.1,6,98,11.6,510,224,2,0,0,0,0.5,1,77,10,11.5,TaylCa01,
116,Devin Bush Jr.,26,CLE,LLB,16,10,0,18,11,61.1,107,9.7,5.9,0,77.8,1.6,21,86,26,4,1,0,1,6,76,3,3.8,BushDe01,
117,Michael Jackson,27,CAR,RCB,17,17,2,96,64,66.7,845,13.2,8.8,6,106.5,10.3,582,263,2,0,0,0,0,0,76,6,7.3,JackMi01,
118,Jeffery Simmons,27,TEN,DT,16,16,0,1,1,100,6,6,6,0,91.7,-1,-1,7,0,6,4,3,5,15,76,6,7.3,PB,SimmJe01
119,Montaric Brown,25,JAX,CB,17,10,1,78,53,67.9,582,11,7.5,4,101.5,8.7,387,195,1,0,0,0,0,0,75,10,11.8,BrowMo00,
120,Jarvis Brownlee,23,TEN,LCB,17,14,1,74,44,59.5,483,11,6.5,3,86.7,8.8,281,202,3,0,0,0,0,0,75,10,11.8,BrowJa09,
121,Kyler Gordon,25,CHI,DB,15,13,0,56,41,73.2,432,10.5,7.7,2,107.1,4.8,184,248,35,2,1,0,0.5,4,75,8,9.6,GordKy00,
122,Christian Izien,24,TAM,SS,14,10,1,54,35,64.8,319,9.1,5.9,0,73,4.8,132,187,24,2,0,0,0,2,75,8,9.6,IzieCh00,
123,Elijah Molden,25,LAC,CB,15,12,3,38,24,63.2,292,12.2,7.7,1,62.6,15,198,94,1,0,0,0,0,0,75,4,5.1,MoldEl00,
124,Eric Murray,30,HOU,SS,17,14,1,56,36,64.3,506,14.1,9,3,103.7,9.8,238,268,12,0,1,0,1,2,75,12,13.8,MurrEr00,
125,Mack Wilson,26,ARI,LILB,16,16,1,28,23,82.1,179,7.8,6.4,0,78.4,3.2,52,127,46,2,4,3,3,9,75,6,7.4,WilsMa03,
126,Will Harris,29,NOR,SS,13,13,1,44,29,65.9,336,11.6,7.6,0,79.4,6.9,131,205,20,0,0,0,0,0,74,9,10.8,HarrWi02,
127,P.J. Locke,27,DEN,SS,15,15,0,54,40,74.1,484,12.1,9,4,125.8,8,297,187,15,0,0,0,1,1,74,5,6.3,LockPJ00,
128,Grover Stewart,31,IND,NT,17,17,0,3,3,100,34,11.3,11.3,0,113.9,-5.3,-16,50,0,4,2,3,3.5,10,74,8,9.8,StewGr00,
129,Coby Bryant,25,SEA,SS,17,11,3,36,25,69.4,290,11.6,8.1,2,77.3,9,194,96,7,0,2,0,0,2,73,4,5.2,BryaCo01,
130,Mike Hilton,30,CIN,CB,16,10,1,61,41,67.2,356,8.7,5.8,3,92,4.7,193,163,39,3,1,1,0,4,73,5,6.4,HiltMi01,
131,Antonio Johnson,23,JAX,S,17,8,0,51,37,72.5,465,12.6,9.1,2,113.6,9.6,304,161,9,1,0,0,0,1,73,6,7.6,JohnAn07,
132,Trenton Simpson,23,BAL,RLB,17,13,0,35,26,74.3,242,9.3,6.9,3,121.4,3.1,90,152,28,0,2,0,1.5,4,73,5,6.4,SimpTr00,
133,Justin Strnad,28,DEN,RILB,17,8,0,43,31,72.1,247,8,5.7,0,86.1,1.1,17,230,42,4,1,3,3,8,73,6,7.6,StrnJu00,
134,K.J. Britt,25,TAM,RILB,14,11,0,30,22,73.3,246,11.2,8.2,1,108.5,4.2,96,150,23,1,0,0,0.5,2,72,7,8.9,BritKJ00,
135,Malik Mustapha,22,SFO,SS,16,12,1,20,7,35,83,11.9,4.2,1,44.4,12.2,44,39,7,1,0,0,0,1,72,8,10,AP DRoY-14,MustMa00
136,Ivan Pace,24,MIN,LILB,11,10,1,31,22,71,237,10.8,7.6,2,101.1,2.8,87,150,44,4,4,0,3,11,72,8,10,PaceIv00,
137,Eric Wilson,30,GNB,MLB,17,12,1,37,31,83.8,314,10.1,8.5,2,108.8,4.4,139,175,17,3,2,0,2,7,72,11,13.3,WilsEr00,
138,Brian Burns,26,NYG,LOLB,17,17,0,5,3,60,36,12,7.2,0,82.1,6,21,15,26,16,9,6,8.5,34,71,7,9,BurnBr00,
139,Cameron Heyward,35,PIT,LDE,17,17,0,1,1,100,5,5,5,0,87.5,2,2,3,0,5,10,10,8,24,71,3,4.1,PBAP-1AP DPoY-13AP CPoY-9,HeywCa01
140,Amani Hooker,26,TEN,FS,14,14,5,39,22,56.4,269,12.2,6.9,3,63.9,12,138,131,9,0,2,0,0,2,71,6,7.8,HookAm00,
141,Harold Landry,28,TEN,ROLB,17,17,0,9,7,77.8,44,6.3,4.9,0,87,-0.3,-1,45,14,3,6,1,9,18,71,7,9,LandHa00,
142,Jourdan Lewis,29,DAL,LCB,16,13,1,57,39,68.4,299,7.7,5.2,2,85.3,7.3,152,147,16,0,1,0,1,2,71,5,6.6,LewiJo01,
143,Andru Phillips,23,NYG,CB,14,6,1,48,36,75,335,9.3,7,1,91.9,4.1,127,208,12,1,0,0,1,2,71,6,7.8,PhilAn02,
144,Benjamin St-Juste,27,WAS,LCB,17,14,0,88,54,61.4,715,13.2,8.1,4,102.2,10.5,512,203,2,0,0,0,0,0,71,6,7.8,StJuBe00,
145,Azeez Al-Shaair,27,HOU,MLB,11,11,0,36,23,63.9,244,10.6,6.8,1,92.8,5.7,78,166,29,0,5,0,2,7,70,4,5.4,AlShAz00,
146,Mohamoud Diabate,23,CLE,RLB,13,11,0,26,13,50,155,11.9,6,1,81.4,3.1,25,130,25,1,0,0,0,1,70,13,15.7,DiabMo00,
147,Joey Porter Jr.,24,PIT,RCB,16,16,1,86,54,62.8,684,12.7,8,0,82.7,9.6,483,201,0,0,0,0,0,0,70,8,10.3,PortJo02,
148,Brandon Stephens,27,BAL,RCB,17,17,0,102,66,64.7,906,13.7,8.9,4,106.1,13.7,656,250,5,0,0,1,1.5,2,70,5,6.7,StepBr01,
149,Chuck Clark,29,NYJ,SS,12,12,0,28,19,67.9,239,12.6,8.5,2,118,6.4,100,139,10,0,0,0,1,1,69,6,8,ClarCh00,
150,Jack Jones,27,LVR,LCB,17,16,3,86,54,62.8,571,10.6,6.6,8,98.5,9,353,218,2,0,0,0,0,0,69,15,17.9,JoneJa10,
151,Andre Cisco,24,JAX,SS,16,14,1,51,30,58.8,592,19.7,11.6,3,110.9,11.5,294,298,10,0,0,0,0,0,68,5,6.8,CiscAn00,
152,Jaycee Horn,25,CAR,LCB,15,15,1,77,41,53.2,474,11.6,6.2,6,92.7,10.3,330,144,5,0,0,0,2,2,68,7,9.3,PB,HornJa00
