 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%
324,Donovan Ezeiruaku,22,DAL,DE,12,4,0,2,1,50,-7,-7,-3.5,0,56.2,-2.5,-3,-4,11,8,8,0,2,18,30,2,6.3
325,Poona Ford,30,LAR,NT,11,5,0,0,0,0,0,0,0,0,1,1,1,1,3,30,2,6.3,FordPo00,,,,
326,Josh Hines-Allen,28,JAX,DE,11,11,0,2,2,100,4,2,2,0,79.2,1.5,3,1,2,13,9,2,4,27,30,7,18.9
327,Kris Jenkins,24,CIN,DT,12,4,0,1,1,100,7,7,7,0,95.8,-4,-4,11,0,1,1,1,1.5,4,30,1,3.2
328,Rayshawn Jenkins,31,CLE,S,11,2,1,8,4,50,83,20.8,10.4,0,47.4,9.5,47,36,2,0,0,0,0,0,30,2,6.3
329,Jourdan Lewis,30,JAX,CB,8,7,2,41,26,63.4,155,6,3.8,4,82.9,7.5,99,56,9,2,1,1,0,3,30,4,11.8
330,Jaylen McCollough,25,LAR,S,11,0,0,36,21,58.3,196,9.3,5.4,0,73.4,5.2,79,117,7,0,0,0,2,2,30,4,11.8
331,Daron Payne,28,WAS,DT,10,10,0,3,2,66.7,-9,-4.5,-3,0,70.1,-5,-9,0,0,1,3,5,1,5,30,9,23.1
332,Levi Drake Rodriguez,25,MIN,DL,11,1,0,1,1,100,4,4,4,0,83.3,3,3,1,1,1,2,0,1,4,30,2,6.3
333,Zach Sieler,30,MIA,DT,11,11,0,1,1,100,14,14,14,0,118.7,-4,-4,18,0,1,3,1,1,5,30,1,3.2
334,DJ Turner,25,CIN,CB,12,11,2,51,26,51,373,14.3,7.3,3,78.3,11.1,263,110,1,0,0,0,0,0,30,5,14.3
335,Jalon Walker,21,ATL,DE,9,5,0,8,7,87.5,71,10.1,8.9,1,143.2,2.6,28,43,22,2,2,0,5,9,30,1,3.2
336,Tre'Davious White,30,BUF,CB,10,10,0,29,17,58.6,148,8.7,5.1,1,83.7,6.8,89,59,2,1,0,0,0,1,30,3,9.1
337,Zach Allen,28,DEN,DL,11,11,0,0,0,0,0,0,0,0,4,17,6,6,30,29,4,12.1,AlleZa01,,,,
338,Kaiir Elam,24,DAL,CB,10,7,0,45,25,55.6,372,14.9,8.3,3,105,13.3,264,108,1,0,0,0,0,0,29,3,9.4
339,Davon Godchaux,31,NOR,DT,11,11,0,0,0,0,0,0,0,0,3,0,0,0,3,29,0,0,GodcDa00,,,,
340,Malik Hooker,29,DAL,S,7,7,0,13,9,69.2,143,15.9,11,2,145.2,15.8,104,39,1,0,0,0,0,0,29,1,3.3
341,John Jenkins,36,BAL,DT,12,9,0,0,0,0,0,0,0,0,0,0,1,1,1,29,4,12.1,JenkJo00,,,,
342,Jermaine Johnson II,26,NYJ,LB,8,8,0,1,1,100,13,13,13,0,118.7,-1,-1,14,7,7,2,0,3,12,29,2,6.5
343,Jonah Laulu,25,LVR,DT,11,9,0,3,2,66.7,9,4.5,3,0,70.1,0.3,0,9,0,0,5,3,4,9,29,9,23.7
344,DeMarcus Lawrence,33,SEA,LB,10,10,0,3,2,66.7,-1,-0.5,-0.3,0,70.1,0,-5,4,7,17,8,0,4,31,29,3,9.4
345,Jason Pinnock,26,SFO,S,12,7,0,20,16,80,154,9.6,7.7,4,138.3,4.9,71,83,7,1,0,0,0,1,29,2,6.5
346,Kelee Ringo,23,PHI,CB,12,2,0,22,13,59.1,196,15.1,8.9,0,88.4,16.2,149,47,1,0,0,0,0,0,29,3,9.4
347,Curtis Robinson,27,SFO,LB,12,1,0,11,9,81.8,64,7.1,5.8,1,121.2,3.8,37,27,5,0,0,0,0,0,29,2,6.5
348,Tuli Tuipulotu,23,LAC,OLB,11,11,0,8,5,62.5,46,9.2,5.8,1,117.7,4.1,16,30,9,7,6,2,8,21,29,2,6.5
349,Kobie Turner,26,LAR,DE,11,11,0,1,1,100,2,2,2,0,79.2,-1,-1,3,0,4,3,1,3.5,11,29,3,9.4
350,Riq Woolen,26,SEA,CB,10,7,0,51,27,52.9,283,10.5,5.5,2,82.4,10.1,171,112,1,0,0,0,0,0,29,5,14.7
351,Jamel Dean,29,TAM,CB,9,9,3,38,17,44.7,192,11.3,5.1,0,27.5,12.6,113,79,2,0,1,0,1,2,28,0,0
352,Cobie Durant,27,LAR,CB,11,9,3,55,28,50.9,341,12.2,6.2,0,47.6,11.5,244,97,2,1,0,0,0,1,28,5,15.2
353,Justin Eboigbe,24,LAC,DL,11,1,0,0,0,0,0,0,0,0,1,4,0,4,9,28,3,9.7,EboiJu00,,,,
354,Luke Gifford,30,SFO,LB,12,6,0,9,6,66.7,86,14.3,9.6,0,97.5,12,45,41,2,0,0,0,0,0,28,2,6.7
355,Cameron Lewis,28,BUF,DB,11,2,0,22,12,54.5,105,8.8,4.8,0,67.4,4.8,40,65,5,1,0,0,0,1,28,2,6.7
356,Jordan Magee,24,WAS,LB,11,4,0,11,9,81.8,64,7.1,5.8,1,121.2,1.5,10,54,4,0,0,0,0,0,28,5,15.2
357,Isaiah McGuire,24,CLE,DE,11,7,0,2,1,50,12,12,6,0,68.7,4,5,7,2,1,1,0,2,5,28,5,15.2
358,Ifeatu Melifonwu,26,MIA,S,10,4,1,16,14,87.5,127,9.1,7.9,2,113.3,5.1,77,50,12,2,0,0,0,2,28,4,12.5
359,Ventrell Miller,26,JAX,LB,11,2,0,9,6,66.7,48,8,5.3,0,79.9,2.8,1,47,12,0,0,0,0,0,28,2,6.7
360,Moro Ojomo,24,PHI,DT,12,5,0,1,0,0,0,0,0,39.6,0,0,0,0,4,4,1,4,12,28,2,6.7,OjomMo00
361,Joey Porter Jr.,25,PIT,CB,8,8,1,42,20,47.6,218,10.9,5.2,0,53.5,10.1,151,67,1,0,0,0,1,1,28,4,12.5
362,Eric Stokes,26,LVR,CB,10,10,0,38,21,55.3,203,9.7,5.3,1,79.2,10.7,125,78,0,0,0,0,0,0,28,2,6.7
363,D.J. Wonnum,28,CAR,OLB,11,10,1,4,2,50,13,6.5,3.3,0,17.7,2.3,7,6,3,2,1,1,0,3,28,1,3.4
364,Deonte Banks,24,NYG,CB,11,4,0,26,18,69.2,217,12.1,8.3,3,133,8.7,179,38,0,0,0,0,0,0,27,5,15.6
365,Bryan Bresee,24,NOR,DT,11,11,0,0,0,0,0,0,0,0,4,4,2,1.5,10,27,0,0,BresBr00,,,,
366,Montaric Brown,26,JAX,CB,9,6,1,37,22,59.5,255,11.6,6.9,3,96.1,11.3,176,79,0,0,0,0,0,0,27,2,6.9
367,Denzel Burke,23,ARI,CB,11,4,2,27,15,55.6,183,12.2,6.8,0,45.8,12,110,73,0,0,0,0,0,0,27,4,12.9
368,Abdul Carter,22,NYG,OLB,12,2,0,1,1,100,11,11,11,0,112.5,3,3,8,27,5,10,0,0.5,16,27,1,3.6
369,Jadeveon Clowney,32,DAL,DE,9,3,0,0,0,0,0,0,0,2,6,0,3,4,10,27,1,3.6,ClowJa00,,,,
370,Zaven Collins,26,ARI,OLB,11,3,0,5,5,100,39,7.8,7.8,0,99.2,4.2,21,18,16,1,6,0,1,8,27,1,3.6
371,Gervon Dexter,24,CHI,DL,12,12,0,1,1,100,8,8,8,0,100,-1,-1,9,0,4,2,0,4,11,27,3,10
372,Emmanuel Forbes,24,LAR,CB,11,8,3,44,24,54.5,335,14,7.6,3,73.6,10.9,219,116,1,0,0,0,0,0,27,5,15.6
373,Mason Graham,22,CLE,DT,11,11,0,2,0,0,0,0,0,39.6,-1.5,0,0,0,3,2,3,0.5,6,27,1,3.6,GrahMa00
374,Marshon Lattimore,29,WAS,CB,9,9,1,37,22,59.5,307,14,8.3,2,93,14.5,247,60,1,0,0,0,0,0,27,3,10
375,Patrick Surtain II,25,DEN,CB,8,8,0,34,19,55.9,189,9.9,5.6,0,71.8,11.1,120,69,0,0,0,0,0,0,27,3,10
376,Tommy Togiai,26,HOU,DT,9,1,0,1,1,100,-1,-1,-1,0,79.2,-5,-5,4,0,1,1,3,0.5,3,27,1,3.6
377,Eyioma Uwazurike,27,DEN,DL,11,0,0,0,0,0,0,0,0,0,0,0,0,2.5,3,27,1,3.6,UwazEy00,,,,
378,Andrew Van Ginkel,30,MIN,OLB,6,5,0,14,9,64.3,61,6.8,4.4,0,73.8,5.6,-6,67,23,1,2,4,3,6,27,2,6.9
379,Deone Walker,21,BUF,DT,11,10,0,0,0,0,0,0,0,0,3,1,2,1,6,27,3,10,WalkDe04,,,,
380,Milton Williams,26,NWE,DT,11,11,0,2,1,50,8,8,4,0,60.4,-4,-4,12,0,3,5,1,3.5,12,27,2,6.9
381,Devonte Wyatt,27,GNB,DL,10,10,0,2,1,50,8,8,4,0,60.4,3.5,-3,11,0,1,2,2,4,7,27,1,3.6
382,Joe Bachie,27,2TM,LB,9,5,0,14,13,92.9,108,8.3,7.7,0,98.8,3.1,44,64,5,0,0,1,0,0,27,1,3.6
383,Joe Bachie,27,IND,LB,5,5,0,14,13,92.9,108,8.3,7.7,0,98.8,3.1,44,64,4,0,0,1,0,0,26,1,3.7
384,Joe Bachie,27,TEN,LB,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,BachJo01,,,,
385,Austin Ajiake,25,IND,LB,10,0,0,8,5,62.5,38,7.6,4.8,1,113.5,5.1,9,29,5,0,1,0,0.5,2,26,2,7.1
386,Markquese Bell,26,DAL,S,12,3,1,11,9,81.8,120,13.3,10.9,1,104.5,6.7,61,59,5,0,0,1,0,0,26,2,7.1
387,Thomas Booker,26,LVR,DT,11,9,0,1,1,100,2,2,2,1,118.7,-4,-4,6,0,2,2,3,0,4,26,2,7.1
388,Billy Bowman,22,ATL,DB,6,1,1,27,18,66.7,219,12.2,8.1,0,76,7,83,136,11,2,0,0,1.5,4,26,7,21.2
389,Kingsley Enagbare,25,GNB,DL,12,0,0,1,1,100,1,1,1,0,79.2,-5,-5,6,0,3,4,0,1,9,26,4,13.3
390,Thomas Harper,25,DET,S,9,6,1,12,8,66.7,152,19,12.7,2,114.6,12,102,50,2,0,0,0,0,0,26,2,7.1
391,Cole Holcomb,29,PIT,LB,8,3,0,13,10,76.9,92,9.2,7.1,1,121.3,2.2,30,62,8,0,0,0,0,0,26,5,16.1
392,Roy Lopez,28,DET,DT,12,0,0,1,1,100,4,4,4,0,83.3,-3,-3,7,0,1,0,0,1,3,26,0,0
393,Jacob Martin,30,WAS,DE,11,8,0,3,2,66.7,19,9.5,6.3,0,84,3.7,14,5,6,2,6,0,4.5,14,26,2,7.1
394,Taylor Rapp,28,BUF,S,6,6,0,11,6,54.5,82,13.7,7.5,0,78.6,10.5,66,16,1,0,0,0,0,0,26,7,21.2
395,L'Jarius Sneed,28,TEN,CB,7,7,0,31,19,61.3,257,13.5,8.3,3,120,10.1,188,69,0,0,0,0,0,0,26,8,23.5
396,Juanyeh Thomas,25,DAL,S,7,3,0,3,3,100,36,12,12,1,156.2,9,27,9,2,0,0,0,0,0,26,5,16.1
397,Dondrea Tillman,27,DEN,OLB,11,0,2,5,2,40,21,10.5,4.2,0,13.3,2.6,7,14,11,2,2,1,1.5,6,26,1,3.7
398,Rock Ya-Sin,29,DET,CB,12,3,0,30,14,46.7,162,11.6,5.4,1,74.6,15,138,24,0,0,0,0,0,0,26,1,3.7
399,Jordan Elliott,28,SFO,DL,12,12,0,0,0,0,0,0,0,0,2,0,0,0,2,25,2,7.4,ElliJo02,,,,
400,Neville Gallimore,28,IND,DT,11,5,0,0,0,0,0,0,0,0,3,2,2,3.5,9,25,2,7.4,GallNe00,,,,
401,DaVon Hamilton,28,JAX,DT,11,11,0,1,1,100,8,8,8,1,139.6,-2,-2,10,0,0,2,0,1,3,25,1,3.8
402,Jaycee Horn,26,CAR,CB,12,12,5,50,22,44,379,17.2,7.6,5,64.1,11.4,211,168,6,0,0,0,0,0,25,10,28.6
403,Cameron Jordan,36,NOR,DE,11,11,0,1,0,0,0,0,0,39.6,-6,0,0,4,2,2,1,4.5,9,25,1,3.8,JordCa00
404,Javon Kinlaw,28,WAS,DT,11,11,0,0,0,0,0,0,0,0,2,3,0,0,5,25,5,16.7,KinlJa00,,,,
405,Uchenna Nwosu,29,SEA,LB,10,6,0,6,4,66.7,16,4,2.7,0,70.1,1.2,-12,28,11,8,2,1,5.5,18,25,3,10.7
406,Kwity Paye,27,IND,DE,11,10,0,3,3,100,29,9.7,9.7,0,106.9,-0.7,-2,31,6,9,4,0,4,17,25,5,16.7
407,M.J. Stewart,30,HOU,S,9,4,0,17,10,58.8,131,13.1,7.7,1,102.8,10.8,79,52,2,0,0,0,0,0,25,4,13.8
408,Derek Stingley Jr.,24,HOU,CB,11,11,3,51,21,41.2,305,14.5,6,2,49.9,13,224,81,3,0,0,0,0,0,25,3,10.7
409,Kayvon Thibodeaux,25,NYG,OLB,10,10,0,1,1,100,5,5,5,0,87.5,5,5,0,5,2,6,1,2.5,11,25,6,19.4
410,Garrett Williams,24,ARI,CB,6,6,1,27,20,74.1,145,7.3,5.4,4,110.3,4.3,68,77,7,1,0,0,0,1,25,5,16.7
411,Nohl Williams,23,KAN,DB,12,1,0,18,10,55.6,121,12.1,6.7,0,76.4,9.5,55,66,2,0,0,0,0,0,25,3,10.7
412,Odafe Oweh,27,2TM,OLB,11,3,0,2,1,50,5,5,2.5,0,56.2,-5,-5,10,13,0,7,0,4,11,25,1,3.8
413,Odafe Oweh,27,BAL,OLB,5,2,0,0,0,0,0,0,0,13,0,5,0,0,5,10,1,9.1,OwehJa00,,,,
414,Odafe Oweh,27,LAC,OLB,6,1,0,2,1,50,5,5,2.5,0,56.2,-5,-5,10,0,0,2,0,4,6,15,0,0
415,Dorance Armstrong Jr.,28,WAS,DE,7,5,0,1,1,100,5,5,5,0,87.5,-1,-1,6,1,3,1,0,5.5,10,24,1,4
416,Joey Bosa,30,BUF,DE,11,11,0,1,0,0,0,0,0,39.6,-1,0,0,0,8,10,1,4,22,24,6,20,BosaJo00
417,Kei'Trel Clark,24,ARI,CB,10,1,0,18,12,66.7,153,12.8,8.5,2,130.1,11.6,120,33,0,0,0,0,0,0,24,2,7.7
418,Kenny Clark,30,DAL,DT,12,12,0,3,3,100,16,5.3,5.3,0,88.9,0,0,16,0,6,2,0,3,12,24,2,7.7
419,Maliek Collins,30,CLE,DT,11,11,0,1,1,100,6,6,6,0,91.7,6,6,0,0,2,4,0,6.5,14,24,4,14.3
420,Demetrius Flannigan-Fowles,29,NYG,LB,7,3,0,10,7,70,57,8.1,5.7,0,84.2,1.3,15,42,6,1,1,0,0,2,24,4,14.3
421,Nick Herbig,24,PIT,LB,10,4,1,5,4,80,33,8.3,6.6,0,54.6,0.6,5,28,33,8,9,0,6.5,24,24,4,14.3
422,Alex Highsmith,28,PIT,LB,7,7,0,3,1,33.3,20,20,6.7,0,57.6,11.3,18,2,13,0,5,0,5.5,11,24,1,4
423,James Houston,27,DAL,DE,12,0,0,0,0,0,0,0,0,3,4,2,0,4.5,11,24,1,4,HousJa01,,,,
424,Tony Jefferson,33,LAC,S,7,4,2,12,7,58.3,102,14.6,8.5,0,46.5,18,60,42,1,0,0,0,0,0,24,4,14.3
425,Dexter Lawrence,28,NYG,DL,12,12,1,0,0,0,0,0,0,0,4,6,3,0.5,11,24,4,14.3,LawrDe03,,,,
426,Marist Liufau,24,DAL,LB,12,4,0,10,9,90,90,10,9,0,104.2,2.7,10,80,6,0,1,0,1,2,24,5,17.2
427,Nick McCloud,27,CHI,CB,12,4,0,23,19,82.6,224,11.8,9.7,2,136.2,8.9,157,67,5,0,0,0,0,0,24,2,7.7
428,Benjamin St-Juste,28,LAC,CB,11,2,1,30,16,53.3,168,10.5,5.6,1,67.1,11.9,112,56,1,0,0,0,0,0,24,0,0
429,Dante Stills,26,ARI,DL,11,3,0,0,0,0,0,0,0,0,0,0,1,0,0,24,2,7.7,StilDa01,,,,
430,Alex Wright,25,CLE,DE,9,4,0,2,2,100,3,1.5,1.5,0,79.2,-4.5,-9,12,0,2,0,0,3,5,24,2,7.7
431,Kris Abrams-Draine,24,DEN,CB,11,2,0,18,14,77.8,147,10.5,8.2,0,100.7,10,110,37,0,0,0,0,0,0,23,1,4.2
432,Joe Andreessen,25,BUF,LB,11,1,0,3,2,66.7,27,13.5,9,0,95.1,8,24,3,1,0,1,0,0,1,23,1,4.2
433,Arik Armstead,32,JAX,DT,11,11,0,2,1,50,3,3,1.5,0,56.2,0.5,-2,5,0,6,2,0,5.5,14,23,2,8
434,K.J. Britt,26,MIA,LB,11,1,0,7,5,71.4,62,12.4,8.9,2,138.1,5.7,40,22,0,0,0,0,0,0,23,0,0
435,Sydney Brown,25,PHI,S,12,2,0,4,3,75,37,12.3,9.3,0,103.1,8.3,20,17,1,0,0,0,0,0,23,2,8
436,Claudin Cherelus,27,CAR,LB,11,2,0,10,9,90,138,15.3,13.8,0,118.7,8.2,77,61,2,0,0,0,0,0,23,2,8
437,Dre Greenlaw,28,DEN,LB,4,4,0,8,4,50,26,6.5,3.3,0,57.3,0.1,-1,27,5,0,1,0,1,2,23,1,4.2
438,Ronnie Harrison,28,ATL,LB,5,2,0,9,8,88.9,69,8.6,7.7,0,98.6,0.6,2,67,17,2,1,2,2,5,23,6,20.7
439,Keyon Martin,24,BAL,CB,11,1,0,15,9,60,49,5.4,3.3,0,65.7,4.8,18,31,9,0,0,0,1,1,23,2,8
440,R.J. Mickens,24,LAC,S,8,2,2,10,6,60,46,7.7,4.6,0,31.7,8.1,31,15,1,0,0,0,0,0,23,3,11.5
441,Jer'Zhan Newton,23,WAS,DT,11,0,0,0,0,0,0,0,0,0,1,2,1,2,5,23,1,4.2,NewtJe00,,,,
442,Solomon Thomas,30,DAL,DT,11,1,0,0,0,0,0,0,0,0,5,1,1,0,6,23,1,4.2,ThomSo00,,,,
443,Jerome Baker,29,CLE,LB,11,4,0,3,3,100,21,7,7,0,95.8,1.7,5,16,5,0,0,0,1.5,2,22,3,12
444,Brandon Dorlus,24,ATL,DT,11,6,0,1,1,100,1,1,1,0,79.2,-5,-5,6,0,3,0,0,6,10,22,1,4.3
445,Ashton Gillotte,23,KAN,DE,12,1,0,0,0,0,0,0,0,0,2,1,0,0.5,4,22,1,4.3,GillAs00,,,,
446,Derrick Harmon,22,PIT,DT,9,5,0,0,0,0,0,0,0,0,2,1,0,2,6,22,1,4.3,HarmDe01,,,,
447,Zach Harrison,24,ATL,DL,7,7,0,0,0,0,0,0,0,0,1,0,1,4.5,6,22,2,8.3,HarrZa00,,,,
448,Rakeem Nunez-Roches,32,NYG,DL,8,5,0,1,0,0,0,0,0,39.6,-5,0,0,0,0,1,1,3,4,22,2,8.3,NuneRa00
449,Denzel Perryman,33,LAC,LB,6,6,0,11,6,54.5,77,12.8,7,0,76.7,5.2,7,70,4,0,0,0,0,0,22,4,15.4
450,Sheldon Rankins,31,HOU,DT,11,11,0,2,2,100,-8,-4,-4,0,79.2,-4.5,-9,1,0,3,2,0,1,6,22,2,8.3
451,T.J. Tampa,23,BAL,CB,12,1,1,9,7,77.8,63,9,7,2,95.8,13.1,50,13,0,0,0,0,0,0,22,1,4.3
452,Carrington Valentine,24,GNB,CB,12,7,0,39,20,51.3,210,10.5,5.4,3,92.9,10.2,174,36,1,0,0,0,0,0,22,4,15.4
453,Sam Williams,26,DAL,DE,12,5,0,2,1,50,19,19,9.5,0,83.3,0,2,17,4,10,2,1,1,13,22,4,15.4
454,Adetomiwa Adebawore,24,IND,DT,11,2,0,0,0,0,0,0,0,0,6,1,0,2,10,21,3,12.5,AdebAd00,,,,
455,Jahdae Barron,24,DEN,CB,11,2,1,23,13,56.5,162,12.5,7,2,89.4,11.5,69,93,6,0,0,0,0,0,21,3,12.5
456,Shaun Dolac,24,LAR,LB,11,0,0,2,2,100,17,8.5,8.5,0,102.1,6,12,5,1,0,0,0,0,0,21,0,0
457,A.J. Epenesa,27,BUF,DE,10,0,1,2,1,50,8,8,4,0,20.8,0.5,8,0,0,3,3,0,2.5,9,21,1,4.5
458,Kenneth Grant,22,MIA,DT,11,3,0,1,1,100,6,6,6,0,91.7,5,5,1,0,2,1,1,1.5,5,21,1,4.5
459,Bryce Huff,27,SFO,DL,10,3,0,5,5,100,23,4.6,4.6,1,125.4,-3.4,-17,40,4,7,9,1,4,20,21,4,16
460,D.J. Jones,30,DEN,DT,11,9,0,0,0,0,0,0,0,0,3,1,0,2,6,21,2,8.7,JoneD.01,,,,
461,Will McDonald,26,NYJ,DE,11,10,0,1,1,100,7,7,7,0,95.8,0,0,7,2,2,5,0,7,14,21,5,19.2
462,Dayo Odeyingbo,26,CHI,DL,8,8,0,2,2,100,2,1,1,1,118.7,-2.5,-5,7,0,2,3,1,1,6,21,1,4.5
463,Jordan Phillips,21,MIA,DT,11,10,0,0,0,0,0,0,0,0,1,0,0,0,1,21,1,4.5,PhilJo02,,,,
464,Malcolm Roach,27,DEN,DT,6,1,0,0,0,0,0,0,0,0,0,0,0,2,3,21,4,16,RoacMa01,,,,
465,Jack Sawyer,23,PIT,OLB,11,0,1,2,2,100,53,26.5,26.5,1,118.7,10.5,21,32,7,3,3,2,1,7,21,3,12.5
466,Josh Sweat,28,ARI,OLB,11,11,0,2,2,100,30,15,15,0,118.7,13,26,4,12,7,7,1,9,23,21,0,0
467,Cam Taylor-Britt,26,CIN,CB,8,2,0,28,19,67.9,241,12.7,8.6,4,134.1,8.5,117,124,4,0,1,0,0,1,21,6,22.2
468,Darious Williams,32,LAR,CB,9,3,1,34,18,52.9,220,12.2,6.5,3,90.3,12,141,79,0,0,0,0,0,0,21,1,4.5
469,Tyree Wilson,25,LVR,DE,11,1,0,2,1,50,-2,-2,-1,0,56.2,5.5,-4,2,2,5,2,0,2,9,21,2,8.7
470,Christian Barmore,26,NWE,DT,12,11,0,0,0,0,0,0,0,0,2,5,0,1,8,20,3,13,BarmCh00,,,,
471,Andrew Billings,30,CHI,DL,12,9,0,0,0,0,0,0,0,0,1,0,0,0,1,20,4,16.7,BillAn00,,,,
472,Chris Braswell,24,TAM,OLB,11,0,0,4,3,75,18,6,4.5,0,83.3,-2.3,-12,30,5,0,3,0,0,3,20,1,4.8
473,Jamaree Caldwell,25,LAC,DT,11,5,0,0,0,0,0,0,0,0,2,0,0,1,3,20,2,9.1,CaldJa00,,,,
474,Kalia Davis,27,SFO,DL,12,12,0,0,0,0,0,0,0,0,1,1,1,0.5,3,20,2,9.1,DaviKa01,,,,
475,Derick Hall,24,SEA,OLB,9,3,0,3,2,66.7,14,7,4.7,0,77.1,-0.7,1,13,1,7,8,1,1,16,20,6,23.1
476,Logan Hall,25,TAM,DL,11,10,0,2,1,50,15,15,7.5,0,75,3.5,-5,20,0,3,1,0,0.5,5,20,2,9.1
477,Chris Jones,31,KAN,DT,12,12,0,0,0,0,0,0,0,0,2,9,1,3,14,20,1,4.8,JoneCh09,,,,
478,Malcolm Koonce,27,LVR,DE,11,1,0,2,2,100,11,5.5,5.5,0,89.6,-0.5,-1,12,2,2,1,0,2,5,20,2,9.1
479,James Pierre,29,PIT,CB,11,2,0,28,11,39.3,99,9,3.5,0,49.6,7.6,29,70,0,0,0,0,0,0,20,4,16.7
480,Darien Porter,24,LVR,CB,11,4,0,13,8,61.5,91,11.4,7,0,82.5,10.2,66,25,0,0,0,0,0,0,20,2,9.1
481,D.J. Reader,31,DET,DL,12,12,0,0,0,0,0,0,0,0,3,3,0,0,6,20,1,4.8,ReadD.00,,,,
482,D.J. Reed,29,DET,CB,6,6,1,19,9,47.4,132,14.7,6.9,0,48.6,15.3,102,30,1,0,0,0,0,0,20,1,4.8
483,Teair Tart,28,LAC,DL,11,11,0,1,1,100,9,9,9,0,104.2,-3,-3,12,0,0,1,2,0,1,20,2,9.1
484,Vita Vea,30,TAM,NT,11,11,0,1,0,0,0,0,0,39.6,2,0,0,0,2,4,1,2.5,9,20,2,9.1,VeaxVi00
485,Travon Walker,25,JAX,DE,9,7,0,1,1,100,13,13,13,0,118.7,3,3,10,2,3,4,1,2.5,10,20,1,4.8
486,Mykel Williams,21,SFO,DL,9,9,0,2,2,100,12,6,6,0,91.7,-4,-8,20,0,1,2,0,1,4,20,0,0
487,Kevin Winston,22,TEN,S,7,3,0,6,5,83.3,94,18.8,15.7,0,118.7,9.7,45,49,7,0,2,0,0,2,20,0,0
488,Isaac Yiadom,29,NOR,CB,8,1,0,14,13,92.9,159,12.2,11.4,1,137.8,9.9,79,80,0,0,0,0,0,0,20,0,0
489,Mohamoud Diabate,24,CLE,LB,11,2,0,2,2,100,10,5,5,0,87.5,-2.5,-5,15,4,0,0,0,0,0,19,1,5
490,Braden Fiske,25,LAR,DE,11,11,0,1,1,100,0,0,0,0,79.2,-1,-1,1,0,7,3,0,1,11,19,0,0
491,John Franklin-Myers,29,DEN,DL,11,10,0,1,0,0,0,0,0,39.6,-3,0,0,0,4,4,0,4.5,13,19,1,5,FranJo02
492,Daniel Hardy,27,CHI,DL,12,1,0,1,1,100,2,2,2,0,79.2,-3,-3,5,0,0,1,0,0,1,19,1,5
493,Nate Hobbs,26,GNB,CB,7,5,0,23,15,65.2,170,11.3,7.4,2,116.2,12.9,140,30,0,0,0,0,0,0,19,3,13.6
494,Donte Jackson,30,LAC,CB,11,10,3,33,15,45.5,173,11.5,5.2,2,44.1,12.1,111,62,0,0,0,0,0,0,19,5,20.8
495,Grady Jarrett,32,CHI,DL,9,3,0,1,1,100,5,5,5,0,87.5,-4,-4,9,0,0,5,1,0,5,19,0,0
496,Will Johnson,22,ARI,CB,6,4,0,29,18,62.1,181,10.1,6.2,1,91.3,7.9,147,34,0,0,0,0,0,0,19,2,9.5
497,Devon Key,28,DEN,DB,11,0,0,1,0,0,0,0,0,39.6,29,0,0,0,0,0,0,0,0,19,0,0,KeyxDe00
498,Tyler Lacy,26,DET,DT,9,4,0,0,0,0,0,0,0,0,1,1,0,1,3,19,0,0,LacyTy00,,,,
499,Marte Mapu,26,NWE,LB,12,0,1,15,11,73.3,119,10.8,7.9,0,68.5,3.7,31,88,0,0,0,0,0,0,19,1,5
500,Al-Quadin Muhammad,30,DET,DE,12,0,0,1,1,100,15,15,15,0,118.7,15,15,0,0,5,5,0,6,17,19,0,0
501,PJ Mustipher,26,ARI,DT,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,1,5,MustPJ00,,,,
502,Roy Robertson-Harris,32,NYG,DT,12,12,0,1,1,100,5,5,5,1,127.1,4,4,1,0,4,4,1,0,8,19,1,5
503,Nolan Smith,24,PHI,OLB,7,7,0,4,3,75,21,7,5.3,0,86.5,-1.5,1,20,15,1,4,0,2,7,19,1,5
504,Isaiah Stalbird,25,NOR,LB,11,0,0,0,0,0,0,0,0,4,1,0,1,1,2,19,0,0,StalIs00,,,,
505,Jahlani Tavai,29,NWE,LB,7,4,0,6,5,83.3,43,8.6,7.2,0,96.5,1.8,14,29,7,0,0,0,0,0,19,0,0
506,Khyiris Tonga,29,NWE,DL,12,6,0,2,1,50,-2,-2,-1,0,56.2,-4,-3,1,0,1,2,2,0,3,19,1,5
507,Korie Black,23,NYG,CB,5,2,0,15,12,80,242,20.2,16.1,3,158.3,13.5,153,89,0,0,0,0,0,0,18,1,5.3
508,Jowon Briggs,24,NYJ,DT,11,2,0,0,0,0,0,0,0,0,0,3,0,3,6,18,4,18.2,BrigJo00,,,,
