 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%
256,Kyle Dugger,29,2TM,S,11,8,1,18,10,55.6,141,14.1,7.8,1,76.4,10.3,119,22,6,0,0,0,0,0,35,1,2.8
257,Kyle Dugger,29,NWE,S,7,4,0,6,5,83.3,74,14.8,12.3,0,118.1,10.5,61,13,1,0,0,0,0,0,17,0,0
258,Kyle Dugger,29,PIT,S,4,4,1,12,5,41.7,67,13.4,5.6,1,53.1,10.3,58,9,5,0,0,0,0,0,18,1,5.3
259,Myles Murphy,23,CIN,DE,12,5,0,1,1,100,28,28,28,0,118.7,-8,-8,36,0,4,2,1,2.5,9,34,4,10.5
260,Eric Murray,31,JAX,S,7,7,1,20,13,65,181,13.9,9.1,1,89.8,13.2,133,48,11,1,1,0,0,2,34,3,8.1
261,Osa Odighizuwa,27,DAL,DT,12,11,0,0,0,0,0,0,0,0,5,13,0,3,21,34,2,5.6,OdigOs00,,,,
262,Lathan Ransom,23,CAR,S,11,5,0,15,10,66.7,143,14.3,9.5,1,119.6,13.1,95,48,2,1,0,0,0,1,34,1,2.9
263,Christian Roland-Wallace,24,KAN,CB,11,2,1,13,10,76.9,124,12.4,9.5,1,99.5,8.3,78,46,4,0,0,1,0,0,34,0,0
264,Jack Sanborn,25,DAL,MLB,6,5,0,18,16,88.9,193,12.1,10.7,0,111.3,6.3,88,105,1,0,0,0,0,0,34,6,15
265,Cody Simon,23,ARI,LB,10,3,0,11,8,72.7,65,8.1,5.9,1,117.6,4.6,36,29,4,0,0,0,0,0,34,3,8.1
266,Harrison Smith,36,MIN,S,9,6,0,22,18,81.8,273,15.2,12.4,2,148.7,7.3,130,143,14,0,0,1,0,0,34,7,17.1
267,Xavier Woods,30,TEN,S,8,8,1,26,20,76.9,206,10.3,7.9,0,83.2,7.4,120,86,5,0,0,0,1,1,34,7,17.1
268,Keeanu Benton,24,PIT,DT,11,11,0,1,1,100,18,18,18,0,118.7,2,2,16,0,2,5,0,4.5,12,33,5,13.2
269,Nik Bonitto,26,DEN,OLB,11,10,0,6,4,66.7,18,4.5,3,0,70.1,3.8,8,10,22,5,8,0,9.5,25,33,2,5.7
270,Adam Butler,31,LVR,DT,10,10,0,0,0,0,0,0,0,0,3,3,0,1,7,33,4,10.8,ButlAd00,,,,
271,Jonathon Cooper,27,DEN,OLB,11,11,0,6,2,33.3,12,6,2,0,42.4,-2.7,-4,16,25,3,3,1,7.5,16,33,3,8.3
272,Ashtyn Davis,29,MIA,S,9,6,0,19,15,78.9,199,13.3,10.5,2,145.4,9.2,109,90,5,1,0,0,0,1,33,7,17.5
273,Mike Green,22,BAL,OLB,12,1,0,5,4,80,41,10.3,8.2,0,100.8,1.2,14,27,7,3,6,0,2.5,12,33,2,5.7
274,Aidan Hutchinson,25,DET,DE,12,12,0,1,0,0,0,0,0,39.6,-6,0,0,1,10,16,1,8.5,35,33,3,8.3,HutcAi00
275,Jarrian Jones,24,JAX,CB,11,3,1,34,21,61.8,241,11.5,7.1,2,90.4,6.6,127,114,5,0,1,0,0,1,33,3,8.3
276,Travis Jones,26,BAL,DL,11,11,0,1,1,100,25,25,25,0,118.7,-8,-8,33,0,3,2,2,1.5,7,33,2,5.7
277,Sebastian Joseph-Day,30,TEN,DE,11,7,0,0,0,0,0,0,0,0,1,2,0,2,5,33,0,0,JoseSe00,,,,
278,Roger McCreary,25,2TM,CB,12,3,1,29,24,82.8,260,10.8,9,2,112.6,5.9,113,147,6,1,0,0,1,2,33,6,15.4
279,Roger McCreary,25,TEN,CB,8,3,1,29,24,82.8,260,10.8,9,2,112.6,5.9,113,147,5,1,0,0,1,2,33,6,15.4
280,Roger McCreary,25,LAR,CB,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,McCrRo01,,,,,
281,Matt Milano,31,BUF,LB,7,7,0,16,12,75,105,8.8,6.6,0,91.9,2.8,37,68,9,0,0,0,1,1,33,4,10.8
282,Chris Rumph,27,NOR,DE,11,0,0,5,4,80,37,9.3,7.4,0,97.5,3.2,5,32,6,2,2,1,1,5,33,1,2.9
283,Chau Smith-Wade,23,CAR,CB,11,3,1,31,26,83.9,241,9.3,7.8,1,96.4,6.5,166,75,1,0,0,0,0,0,33,3,8.3
284,Denzel Ward,28,CLE,CB,11,11,1,48,31,64.6,317,10.2,6.6,1,81.7,10.4,190,127,3,0,0,0,0,0,33,7,17.5
285,Sauce Gardner,25,2TM,CB,9,9,0,42,20,47.6,289,14.5,6.9,2,86.3,8.5,177,112,3,0,0,0,0,0,33,4,10.8
286,Sauce Gardner,25,NYJ,CB,7,7,0,28,13,46.4,225,17.3,8,2,98.1,9.7,152,73,3,0,0,0,0,0,20,4,16.7
287,Sauce Gardner,25,IND,CB,2,2,0,14,7,50,64,9.1,4.6,0,62.8,6.1,25,39,0,0,0,0,0,0,13,0,0
288,Trey Amos,23,WAS,CB,10,8,0,38,27,71.1,315,11.7,8.3,1,104.6,9.4,192,123,0,0,0,0,0,0,32,5,13.5
289,Jalyn Armour-Davis,26,TEN,CB,9,8,0,33,23,69.7,362,15.7,11,2,126.1,13.7,254,108,1,0,0,0,0,0,32,2,5.9
290,Chidobe Awuzie,30,BAL,CB,10,5,0,42,22,52.4,255,11.6,6.1,2,86.9,12.2,191,64,4,0,0,0,0,0,32,5,13.5
291,Jalen Carter,24,PHI,DT,10,10,0,2,2,100,27,13.5,13.5,1,158.3,-1.5,-3,30,0,5,9,4,2,16,32,5,13.5
292,Divine Deablo,27,ATL,LB,7,7,0,6,3,50,19,6.3,3.2,0,56.9,6.5,0,19,16,0,0,0,0.5,1,32,2,5.9
293,Cordale Flott,24,NYG,CB,11,11,1,56,29,51.8,377,13,6.7,0,65.8,13.9,303,74,1,0,0,0,0,0,32,0,0
294,Myles Harden,24,CLE,CB,11,4,0,41,31,75.6,267,8.6,6.5,3,116.6,6.4,97,170,2,0,0,0,0,0,32,5,13.5
295,Jalyx Hunt,24,PHI,OLB,12,8,2,6,2,33.3,5,2.5,0.8,0,2.8,-1.3,-8,13,8,4,11,0,2,17,32,3,8.6
296,Darius Muasau,24,NYG,LB,8,7,0,11,8,72.7,56,7,5.1,1,114.2,2.4,-4,60,7,1,0,0,1,2,32,5,13.5
297,Anthony Nelson,28,TAM,OLB,11,4,1,10,6,60,64,10.7,6.4,0,39.2,0.3,10,54,9,1,0,0,3,4,32,0,0
298,Nic Scourton,21,CAR,OLB,12,4,0,3,3,100,23,7.7,7.7,0,98.6,5.3,16,7,5,4,3,1,3,11,32,2,5.9
299,Tarheeb Still,23,LAC,CB,9,8,0,34,24,70.6,172,7.2,5.1,0,82,5,28,144,7,1,1,1,0,2,32,4,11.1
