 Rk,Pass Coverage Player,Pass Coverage Age,Pass Coverage Team,Pass Coverage Pos,Pass Coverage GAME,Pass Coverage GameStart,Pass Coverage Int,Pass Coverage Tgt,Pass Coverage Cmp,Pass Coverage Cmp%,Pass Coverage Yds,Pass Coverage Yds/Cmp,Pass Rush Yds/Tgt,Pass Rush TD,Pass Rush Rat,Pass Rush DADOT,Pass Rush Air,Pass Rush YAC,Tackles Bltz,Tackles Hrry,Tackles QBKD,additional Bats, Sk, Prss, Comb, MTkl, MTkl%,,
216,Christian Benford,23,BUF,CB,15,14,2,62,43,69.4,470,10.9,7.6,2,88.8,10.8,347,123,2,0,0,0,0,0,54,0,0,BenfCh00,
217,James Bradberry,30,PHI,CB,16,16,1,101,60,59.4,740,12.3,7.3,11,114.3,10.4,521,219,3,0,0,0,0,0,54,6,10,BradJa00,
218,Cole Holcomb,27,PIT,LB,8,8,0,19,13,68.4,144,11.1,7.6,0,90.7,4.9,61,83,37,0,2,0,0,2,54,5,8.5,HolcCo00,
219,Micah Hyde,32,BUF,S,14,14,2,37,26,70.3,316,12.2,8.5,3,100.7,11.3,234,82,16,0,1,1,0,1,54,6,10,HydeMi00,
220,Jarran Reed,31,SEA,DE,16,16,0,3,3,100,10,3.3,3.3,0,80.6,-4,-12,22,0,9,5,3,7,21,54,9,14.3,ReedJa02,
221,Juan Thornhill,28,CLE,S,11,11,0,30,19,63.3,208,10.9,6.9,3,117.1,10.6,144,64,4,0,2,1,0,2,54,2,3.6,ThorJu00,
222,Deatrich Wise Jr.,29,NWE,DL,16,13,0,1,1,100,6,6,6,0,91.7,-3,-3,9,1,7,1,1,4.5,13,54,0,0,WiseDe00,
223,Jonathan Allen,28,WAS,DT,16,16,0,4,3,75,-1,-0.3,-0.3,1,116.7,-1,-10,9,0,5,11,1,5.5,22,53,6,10.2,AlleJo01,
224,Nick Bosa,26,SFO,DL,17,17,0,5,4,80,48,12,9.6,0,106.7,-2.8,-8,56,5,9,21,3,10.5,44,53,4,7,PB,BosaNi00
225,Aaron Donald,32,LAR,DT,16,16,0,1,1,100,-1,-1,-1,0,79.2,-6,-6,5,0,8,14,2,8,31,53,5,8.6,PBAP-1AP CPoY-9,DonaAa00
226,Quentin Lake,24,LAR,DB,14,4,0,51,32,62.7,238,7.4,4.7,3,93.4,5.8,160,78,14,1,0,0,0,1,53,3,5.4,LakeQu00,
227,Dexter Lawrence,26,NYG,DL,16,16,0,1,1,100,21,21,21,0,118.7,-3,-3,24,0,5,14,2,4.5,25,53,3,5.4,PBAP-2AP DPoY-9,LawrDe03
228,P.J. Locke,26,DEN,S,12,8,1,35,21,60,302,14.4,8.6,2,95.2,9.4,149,153,9,0,0,0,3,3,53,9,14.5,LockPJ00,
229,Daron Payne,26,WAS,DT,17,17,0,2,2,100,1,0.5,0.5,0,79.2,-6.5,-13,14,1,4,4,4,4,13,53,7,11.7,PaynDa00,
230,Tuli Tuipulotu,21,LAC,OLB,17,11,0,10,7,70,52,7.4,5.2,1,115.4,1.2,3,49,28,11,6,1,4.5,22,53,8,13.1,TuipTu00,
